path	branch	sha	state	ahead	dirty_tracked	untracked
C:/Git Local Repos/forge_flow_demo	refs/heads/master	d38692ae	MERGED_OR_DEAD	0	0	53
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a01ed90e3eb47c637	refs/heads/claude/wave-2-mo-2-fu-manual-covers-projection	92eac716	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a04e853627c6c0f25	refs/heads/claude/c-11-pressure-test-inventory-under-preview	7a6c7a95	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a0529e994da870f79	refs/heads/claude/b2-3-blast-radius-endpoint	f79d206e	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a07b15fad5fecb4af	refs/heads/claude/l-a1-inheritance-tree-primitive	598b805e	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a09779b8410bbf168	refs/heads/claude/b2-2-default-role-catalog-admin-editor	cee5aebd	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a09fe3316afa15cfb	refs/heads/claude/admin-cors-bootstrap-test-fix	b2c7528a	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a0c222f3a06cb3c0e	refs/heads/claude/wave-2-claude2-audit-followups	f84f0704	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a0c27df099ca52e61	refs/heads/claude/test-proxy-stale-snapshot-fix-2026-05-13	cb9e8633	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a0c4f99e7b3703bef	refs/heads/claude/wave-2-phase-2-ow-4-location-tab-scope-visibility	dbe041ff	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a0d154cd1b3eb5a23	refs/heads/claude/auth-location-integrations-test-stateerror-fix	6382a61e	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a0e8aab30fea4e13b	refs/heads/claude/wave-2-w-4-admin-my-account-parity	70613138	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a102fa8f8389be888	refs/heads/claude/wave-2-w-2-cancel-pending-invite	810adabb	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a115c832343885261	refs/heads/claude/pr-630-fix-decompose-sibling-file	ecbace5a	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a1269ea261d9b0f63	refs/heads/claude/wave-2-phase-2-ac-1-actor-label-sweep	93b95a7a	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a187af8430b0917d8	refs/heads/claude/b-fu-dev-csp-deploy-script-swap	872d8b41	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a1b8648296d7c8c19	refs/heads/claude/per-daypart-slice-2-benchmark-tab	23603ac9	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a1e50a891f25d5337	refs/heads/claude/b1b-admin-audit-actor-fix	420b89e9	MERGED_OR_DEAD	0	3	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a21485220a1e9c74c	refs/heads/claude/wave-2-phase-2-ow-2a-account-field-parity-audit	4cfde0bd	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a21508349bd53434d	refs/heads/claude/wave-2-phase-2-en-3-fu-fanout-production-binding	dc052375	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a2186d37fa43e1a72	refs/heads/claude/wave-2-testing-prep	7db61c0d	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a221e24f5b94c5c1d	refs/heads/claude/mobile-fu-business-scope-drawer-seed	da82e27e	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a261b63f2466d6287	refs/heads/claude/wave-2-r-1l-r-2l-not-null-flip	48ff443b	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a271c915a935ded42	refs/heads/claude/wave-2-b-w1-phase-8-base-fact-tables	0e9a1f3f	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a27dd6cc23901bd6c	refs/heads/claude/a3-4-bare-catch-typing-chunk-3	5ce7135b	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a27fadd344130fe3a	refs/heads/worktree-agent-a27fadd344130fe3a	ec0a6a0b	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a281c810c4c532713	refs/heads/claude/fix-gap-b3-audit-tree-picker-redirect	212047a0	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a29c655315999c7b4	refs/heads/claude/u-fu-hp11-account-demo-defaults	21582169	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a2d1ac2134d3ce422	refs/heads/claude/b11-2-b-step-up-wiring	8af2a0c0	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a2dbf1ad54d6e3aa3	refs/heads/claude/b8-b-operator-web-audit-log-hierarchy-parity	4d11fdd3	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a30ef09a55c1900ca	refs/heads/claude/gap-b3-admin-audit-log-tree-picker	37276e35	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a3142cc22679ddbd1	refs/heads/claude/wave-2-w-6-account-screen-timezone	30672bca	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a3157d758f8b7aa37	refs/heads/claude/c-2-del-webhook-signature-tos	ec60e06f	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a346b8273ebf944a7	refs/heads/claude/fix-operator-web-live-onboarding-g24	456a8b75	UNMERGED	1	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a347f97736bfb340e	refs/heads/claude/a7-1-frameworks-cross-ref-sweep	09339cf9	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a3ac29d4c77c9e480	refs/heads/claude/r-2l-fu-demo-fixture	351d1bb0	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a3cda9e51f393b7b5	refs/heads/claude/c-2-wire-or-delete-template-emails	b8c57bb4	MERGED_OR_DEAD	0	0	0
C:/Git Local Repos/forge_flow_demo/.claude/worktrees/agent-a3d3d2344bf5586b8	refs/heads/claude/a11-1-b-session-record-gauge-consumer	ea893e96	MERGED_OR_DEAD	0	0	0
